step: 275, acc:  100.00%, loss: 0.205681
step: 276, acc:  100.00%, loss: 0.189124
step: 277, acc:  100.00%, loss: 0.173300
step: 278, acc:  100.00%, loss: 0.158241
step: 279, acc:  100.00%, loss: 0.144194
step: 280, acc:  100.00%, loss: 0.131284
step: 281, acc:  100.00%, loss: 0.119378
step: 282, acc:  100.00%, loss: 0.108358
step: 283, acc:  100.00%, loss: 0.098258
step: 284, acc:  100.00%, loss: 0.089054
step: 285, acc:  100.00%, loss: 0.080714
step: 286, acc:  100.00%, loss: 0.073158
step: 287, acc:  100.00%, loss: 0.066311
step: 288, acc:  100.00%, loss: 0.060123
step: 289, acc:  100.00%, loss: 0.054523
step: 290, acc:  100.00%, loss: 0.049465
step: 291, acc:  100.00%, loss: 0.044914
step: 292, acc:  100.00%, loss: 0.040821
step: 293, acc:  100.00%, loss: 0.037146
step: 294, acc:  100.00%, loss: 0.033855
step: 295, acc:  100.00%, loss: 0.030937
step: 296, acc:  100.00%, loss: 0.028353
step: 297, acc:  100.00%, loss: 0.026057
step: 298, acc:  100.00%, loss: 0.024019
step: 299, acc:  100.00%, loss: 0.022199
step: 300, acc:  100.00%, loss: 0.020566
step: 301, acc:  100.00%, loss: 0.019095
step: 302, acc:  100.00%, loss: 0.017768
step: 303, acc:  100.00%, loss: 0.016567
step: 304, acc:  100.00%, loss: 0.015483
step: 305, acc:  100.00%, loss: 0.014500
step: 306, acc:  100.00%, loss: 0.013609
step: 307, acc:  100.00%, loss: 0.012801
step: 308, acc:  100.00%, loss: 0.012066
step: 309, acc:  100.00%, loss: 0.011398
step: 310, acc:  100.00%, loss: 0.010787
step: 311, acc:  100.00%, loss: 0.010227
step: 312, acc:  100.00%, loss: 0.009715
step: 313, acc:  100.00%, loss: 0.009243
step: 314, acc:  100.00%, loss: 0.008810
step: 315, acc:  100.00%, loss: 0.008409
step: 316, acc:  100.00%, loss: 0.008038
step: 317, acc:  100.00%, loss: 0.007694
step: 318, acc:  100.00%, loss: 0.007374
step: 319, acc:  100.00%, loss: 0.007076
step: 320, acc:  100.00%, loss: 0.006798
step: 321, acc:  100.00%, loss: 0.006537
step: 322, acc:  100.00%, loss: 0.006293
step: 323, acc:  100.00%, loss: 0.006065
